employee_id,review_date,review_period,self_rating,manager_rating,overall_rating,goals_achieved,goals_target,feedback_summary,goals_met_pct
2,2023-06-15,H1-2023,5,5,5,4,5,Gas indeed notice rich brother without do.,80.0
2,2023-12-15,H2-2023,3,5,4,2,5,Mind pay son community traditional.,40.0
2,2024-06-15,H1-2024,5,3,4,4,5,Our lose whatever hundred carry ready.,80.0
2,2024-12-15,H2-2024,5,3,4,4,5,Daughter during report.,80.0
2,2025-06-15,H1-2025,3,5,4,5,5,Hope east ask price early type loss on.,100.0
3,2023-06-15,H1-2023,4,4,4,4,5,Song film television finally spend.,80.0
3,2023-12-15,H2-2023,2,4,3,3,5,Reduce big character plant.,60.0
3,2024-06-15,H1-2024,2,2,2,4,5,People should tell political ago green product.,80.0
3,2024-12-15,H2-2024,3,3,3,3,5,People world team provide.,60.0
3,2025-06-15,H1-2025,4,4,4,3,5,Heart mother practice call account east rich.,60.0
4,2023-06-15,H1-2023,5,5,5,2,5,Car community stop plan item pattern wonder.,40.0
4,2023-12-15,H2-2023,5,4,4,2,5,Sit gas recently very alone ground front.,40.0
4,2024-06-15,H1-2024,5,4,4,2,5,Who box nor.,40.0
4,2024-12-15,H2-2024,4,4,4,2,5,Deep sit hit animal note clearly.,40.0
4,2025-06-15,H1-2025,4,4,4,3,5,Later main seem easy always director model.,60.0
5,2023-06-15,H1-2023,3,4,4,3,5,Good ground candidate who begin.,60.0
5,2023-12-15,H2-2023,3,2,2,5,5,Information say mother indeed.,100.0
5,2024-06-15,H1-2024,2,2,2,5,5,Ten plan he movie.,100.0
5,2024-12-15,H2-2024,3,4,4,3,5,Dark majority state number indeed myself.,60.0
5,2025-06-15,H1-2025,3,3,3,2,5,Development wear other culture very store growth.,40.0
6,2023-06-15,H1-2023,5,4,4,4,5,Treat firm easy large.,80.0
6,2023-12-15,H2-2023,5,5,5,3,5,Security education least.,60.0
6,2024-06-15,H1-2024,5,5,5,2,5,Machine check again region teacher say him.,40.0
6,2024-12-15,H2-2024,4,5,4,3,5,Report example thousand.,60.0
6,2025-06-15,H1-2025,4,5,4,2,5,Reality stock old still human part natural.,40.0
7,2023-06-15,H1-2023,1,1,1,3,5,A study resource recognize operation.,60.0
7,2023-12-15,H2-2023,3,2,2,5,5,Sit during hope cause own grow.,100.0
7,2024-06-15,H1-2024,2,1,2,5,5,About key very clear.,100.0
7,2024-12-15,H2-2024,2,1,2,2,5,Beat happen for bill window.,40.0
7,2025-06-15,H1-2025,3,3,3,2,5,Outside result police fire able method.,40.0
8,2023-06-15,H1-2023,5,4,4,2,5,Deal fine region reason political.,40.0
8,2023-12-15,H2-2023,5,5,5,2,5,Section station price tend international if.,40.0
8,2024-06-15,H1-2024,4,5,4,5,5,Evidence nor spend language.,100.0
8,2024-12-15,H2-2024,4,4,4,2,5,During explain fight every power until.,40.0
8,2025-06-15,H1-2025,4,3,4,3,5,Figure right together offer collection seat air model.,60.0
9,2023-06-15,H1-2023,5,4,4,4,5,Do watch resource full.,80.0
9,2023-12-15,H2-2023,5,3,4,5,5,Today full they.,100.0
9,2024-06-15,H1-2024,5,4,4,2,5,Billion view parent.,40.0
9,2024-12-15,H2-2024,5,5,5,4,5,Keep bank section western weight.,80.0
9,2025-06-15,H1-2025,4,4,4,4,5,They newspaper get use author.,80.0
10,2023-06-15,H1-2023,3,3,3,2,5,Morning believe rather generation particularly.,40.0
10,2023-12-15,H2-2023,2,2,2,4,5,Ground Democrat dark describe sister decide weight.,80.0
10,2024-06-15,H1-2024,2,4,3,5,5,Late base political rest six.,100.0
10,2024-12-15,H2-2024,2,4,3,2,5,View matter industry direction project nature late material.,40.0
10,2025-06-15,H1-2025,4,3,4,5,5,Old PM wait from every.,100.0
11,2023-06-15,H1-2023,5,5,5,3,5,Suffer already walk cell moment it.,60.0
11,2023-12-15,H2-2023,5,5,5,4,5,Democratic collection happen idea force should red.,80.0
11,2024-06-15,H1-2024,5,5,5,5,5,Teacher already feeling southern test conference similar.,100.0
11,2024-12-15,H2-2024,5,5,5,2,5,Bill from interesting statement interview with.,40.0
11,2025-06-15,H1-2025,4,5,4,5,5,Push thousand health election.,100.0
12,2023-06-15,H1-2023,5,5,5,2,5,Left thus face such hour executive.,40.0
12,2023-12-15,H2-2023,5,5,5,3,5,Town agree successful reflect baby fact mention.,60.0
12,2024-06-15,H1-2024,5,5,5,4,5,Watch government sing factor area.,80.0
12,2024-12-15,H2-2024,4,5,4,2,5,Let act left then almost if community provide.,40.0
12,2025-06-15,H1-2025,5,5,5,5,5,Guy look consider speech.,100.0
13,2023-06-15,H1-2023,3,3,3,2,5,Over artist dinner agency whole test.,40.0
