employee_id,review_date,review_period,self_rating,manager_rating,overall_rating,goals_achieved,goals_target,feedback_summary
2,2023-06-15,H1-2023,5,5,5,4,5,Gas indeed notice rich brother without do.
2,2023-12-15,H2-2023,3,5,4,2,5,Mind pay son community traditional.
2,2024-06-15,H1-2024,5,3,4,4,5,Our lose whatever hundred carry ready.
2,2024-12-15,H2-2024,5,3,4,4,5,Daughter during report.
2,2025-06-15,H1-2025,3,5,4,5,5,Hope east ask price early type loss on.
3,2023-06-15,H1-2023,4,4,4,4,5,Song film television finally spend.
3,2023-12-15,H2-2023,2,4,3,3,5,Reduce big character plant.
3,2024-06-15,H1-2024,2,2,2,4,5,People should tell political ago green product.
3,2024-12-15,H2-2024,3,3,3,3,5,People world team provide.
3,2025-06-15,H1-2025,4,4,4,3,5,Heart mother practice call account east rich.
4,2023-06-15,H1-2023,5,5,5,2,5,Car community stop plan item pattern wonder.
4,2023-12-15,H2-2023,5,4,4,2,5,Sit gas recently very alone ground front.
4,2024-06-15,H1-2024,5,4,4,2,5,Who box nor.
4,2024-12-15,H2-2024,4,4,4,2,5,Deep sit hit animal note clearly.
4,2025-06-15,H1-2025,4,4,4,3,5,Later main seem easy always director model.
5,2023-06-15,H1-2023,3,4,4,3,5,Good ground candidate who begin.
5,2023-12-15,H2-2023,3,2,2,5,5,Information say mother indeed.
5,2024-06-15,H1-2024,2,2,2,5,5,Ten plan he movie.
5,2024-12-15,H2-2024,3,4,4,3,5,Dark majority state number indeed myself.
5,2025-06-15,H1-2025,3,3,3,2,5,Development wear other culture very store growth.
6,2023-06-15,H1-2023,5,4,4,4,5,Treat firm easy large.
6,2023-12-15,H2-2023,5,5,5,3,5,Security education least.
6,2024-06-15,H1-2024,5,5,5,2,5,Machine check again region teacher say him.
6,2024-12-15,H2-2024,4,5,4,3,5,Report example thousand.
6,2025-06-15,H1-2025,4,5,4,2,5,Reality stock old still human part natural.
7,2023-06-15,H1-2023,1,1,1,3,5,A study resource recognize operation.
7,2023-12-15,H2-2023,3,2,2,5,5,Sit during hope cause own grow.
7,2024-06-15,H1-2024,2,1,2,5,5,About key very clear.
7,2024-12-15,H2-2024,2,1,2,2,5,Beat happen for bill window.
7,2025-06-15,H1-2025,3,3,3,2,5,Outside result police fire able method.
